V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
143183, 56275,  1823,148381,   799, 54997, 71106,  7215,147808,   568,   152
143411, 56400,  1828,149127,   802, 55087, 71408,  7261,148235,   568,   153
143917, 56522,  1831,149588,   800, 55126, 71507,  7287,148769,   577,   156
144342, 56823,  1839,150400,   801, 55172, 71694,  7329,149394,   565,   156
144867, 57203,  1844,151470,   805, 55281, 72154,  7438,149771,   567,   156
145298, 57517,  1853,152387,   810, 55359, 72435,  7468,150176,   569,   158
145847, 57834,  1861,153514,   810, 55446, 72692,  7534,150626,   568,   158
146278, 57974,  1867,154519,   820, 55537, 72950,  7623,151161,   568,   158
146574, 58125,  1871,155567,   821, 55638, 73170,  7644,151463,   568,   158
147010, 58579,  1881,156726,   830, 55683, 73275,  7723,151880,   573,   160
147551, 58936,  1884,157573,   831, 55729, 73406,  7802,152623,   572,   162
148152, 59169,  1888,159035,   833, 55799, 73657,  7928,152977,   574,   162
148612, 59463,  1893,160645,   841, 55921, 73905,  8027,153571,   577,   162
149202, 59602,  1904,162220,   841, 56030, 74171,  8104,153955,   586,   163
149720, 59696,  1905,163912,   848, 56150, 74449,  8183,154367,   586,   163
150280, 59779,  1907,165198,   851, 56248, 74653,  8261,154765,   586,   163
150881, 60621,  1909,166457,   856, 56327, 74787,  8290,155192,   586,   164
151527, 60945,  1920,168139,   860, 56384, 75001,  8342,156035,   591,   168
152101, 61550,  1924,170039,   868, 56517, 75256,  8487,156742,   591,   168
152695, 61726,  1931,171437,   872, 56634, 75521,  8602,157392,   593,   170
153177, 62353,  1942,173817,   872, 56757, 75773,  8648,158379,   585,   170
154182, 62619,  1949,175586,   879, 56894, 76076,  8795,158758,   585,   170
154722, 62774,  1950,177465,   886, 57035, 76323,  8868,159272,   585,   170
155458, 63367,  1951,178832,   891, 57133, 76480,  8922,159617,   590,   170
155951, 63850,  1964,181108,   889, 57225, 76656,  9014,160532,   595,   172
156736, 64131,  1969,183649,   895, 57392, 76925,  9103,160984,   600,   172
157728, 64367,  1973,186405,   901, 57547, 77240,  9189,160984,   603,   172
158761, 64952,  1981,189660,   901, 57700, 77531,  9290,161613,   610,   172
159781, 65207,  1984,193102,   911, 57835, 77772,  9414,162306,   731,   186
160184, 65331,  1987,195740,   918, 57991, 78017,  9462,163287,   731,   186
161154, 65997,  2140,198184,   923, 58091, 78168,  9523,163845,   740,   187
161588, 66656,  2140,201176,   930, 58204, 78464,  9568,164445,   749,   187
162958, 67196,  2157,204977,   936, 58431, 78878,  9590,165252,   746,   187
164269, 67777,  2161,210266,   947, 58622, 79277,  9742,165967,   751,   188
165702, 68242,  2167,214924,   947, 58869, 79676,  9907,166545,   993,   188
166850, 68721,  2174,218662,   949, 59119, 80105,  9976,167331,   993,   192
167063, 68865,  2178,223110,   952, 59372, 80472, 10031,167956,   993,   192
169091, 70347,  2194,227425,   962, 59561, 80782, 10090,168746,  1004,   198
170207, 71072,  2206,231462,   962, 59734, 81097, 10150,170835,  1657,   198
170842, 71847,  2221,236717,   981, 60047, 81661, 10318,171916,  1657,   199
172864, 73001,  2233,242662,  1005, 60391, 82243, 10444,172763,  1737,   201
174957, 73915,  2253,246392,  1005, 60705, 82751, 10632,173436,  1740,   201
176204, 74166,  2256,251101,  1025, 61034, 83264, 10745,174493,  1740,   202
176993, 74929,  2264,255608,  1197, 61387, 83728, 10817,175414,  1740,   202
